Variable_name,Variable_type,Variable_label,Variable,% missing
awb5_2_drugs_othr3_a10,haven_labelled,In the past year how many times have you taken this other drug?,awb5_2_drugs_othr3_a10,99.00727995
awb5_2_gambling_chk_a10___1,haven_labelled,Gambling: Ever spent money (National Lottery games),awb5_2_gambling_chk_a10___1,0
awb5_2_gambling_chk_a10___2,haven_labelled,Gambling: Ever spent money (Slot machines),awb5_2_gambling_chk_a10___2,0
awb5_2_gambling_chk_a10___3,haven_labelled,Gambling: Ever spent money (Private bets for money),awb5_2_gambling_chk_a10___3,0
awb5_2_gambling_chk_a10___4,haven_labelled,Gambling: Ever spent money (Playing cards for money),awb5_2_gambling_chk_a10___4,0
awb5_2_gambling_chk_a10___5,haven_labelled,Gambling: Ever spent money (Bingo at bingo club),awb5_2_gambling_chk_a10___5,0
awb5_2_gambling_chk_a10___6,haven_labelled,Gambling: Ever spent money (Bingo not at a bingo club),awb5_2_gambling_chk_a10___6,0
awb5_2_gambling_chk_a10___7,haven_labelled,Gambling: Ever spent money (Gaming machines in betting shop),awb5_2_gambling_chk_a10___7,0
awb5_2_gambling_chk_a10___8,haven_labelled,Gambling: Ever spent money (Placing a bet at a betting shop),awb5_2_gambling_chk_a10___8,0
awb5_2_gambling_chk_a10___9,haven_labelled,Gambling: Ever spent money (Visiting a casino to play casino games),awb5_2_gambling_chk_a10___9,0
awb5_2_gambling_chk_a10___10,haven_labelled,Gambling: Ever spent money (Gambling websites/apps with cash prizes),awb5_2_gambling_chk_a10___10,0
awb5_2_gambling_chk_a10___0,haven_labelled,Gambling: Ever spent money (None of the above),awb5_2_gambling_chk_a10___0,0
awb5_2_gambling_2_a5,haven_labelled,Have you spent any money on shop bought Scratchcards?,awb5_2_gambling_2_a5,100
awb5_2_gambling_2_r10,haven_labelled,Gambling: Last spent money (National Lottery games),awb5_2_gambling_2_r10,95.27465255
awb5_2_gambling_6_a5,haven_labelled,Have you spent any money on fruit/slot machines?,awb5_2_gambling_6_a5,100
awb5_2_gambling_6_r10,haven_labelled,Gambling: Last spent money (Slot machines),awb5_2_gambling_6_r10,86.51224355
awb5_2_gambling_7_a5,haven_labelled,Have you spent any money on placing private bet for money?,awb5_2_gambling_7_a5,100
awb5_2_gambling_7_r10,haven_labelled,Gambling: Last spent money (Private bets for money),awb5_2_gambling_7_r10,93.24950364
awb5_2_gambling_8_a5,haven_labelled,Have you spent any money on playing cards for money?,awb5_2_gambling_8_a5,100
awb5_2_gambling_8_r10,haven_labelled,Gambling: Last spent money (Playing cards for money),awb5_2_gambling_8_r10,94.25545996
awb5_2_gambling_9_a5,haven_labelled,Have you spent any money on bingo at a bingo club?,awb5_2_gambling_9_a5,100
awb5_2_gambling_9_r10,haven_labelled,Gambling: Last spent money (Bingo at bingo club),awb5_2_gambling_9_r10,98.1733951
awb5_2_gambling_10_a5,haven_labelled,Have you spent any money on bingo at somewhere other than bingo club?,awb5_2_gambling_10_a5,100
awb5_2_gambling_10_r10,haven_labelled,Gambling: Last spent money (Bingo not at a bingo club),awb5_2_gambling_10_r10,95.38054269
awb5_2_gambling_11_a5,haven_labelled,Have you visited a betting shop to play machines?,awb5_2_gambling_11_a5,100
awb5_2_gambling_11_r10,haven_labelled,Gambling: Last spent money (Gaming machines in betting shop),awb5_2_gambling_11_r10,98.49106552
awb5_2_gambling_12_a5,haven_labelled,Have you personally placed a bet at a betting shop?,awb5_2_gambling_12_a5,100
awb5_2_gambling_12_r10,haven_labelled,Gambling: Last spent money (Placing a bet at a betting shop),awb5_2_gambling_12_r10,97.96161482
awb5_2_gambling_13_a5,haven_labelled,Have you visited a casino to play casino games?,awb5_2_gambling_13_a5,100
awb5_2_gambling_13_r10,haven_labelled,Gambling: Last spent money (Visiting a casino to play casino games),awb5_2_gambling_13_r10,99.48378557
awb5_2_gambling_14_a5,haven_labelled,Have you spent any money on gambling websites/apps for real money?,awb5_2_gambling_14_a5,100
awb5_2_gambling_14_r10,haven_labelled,Gambling: Last spent money (Gambling websites/apps with cash prizes),awb5_2_gambling_14_r10,98.63666446
awb5_2_gambling_fam_a10,haven_labelled,Has anyone in your immediate family spent money on gambling,awb5_2_gambling_fam_a10,9.000661813
awb5_2_online_gamb3_a5___1,haven_labelled,Online games: Have you ever paid money to buy in-game items?,awb5_2_online_gamb3_a5___1,0
awb5_2_online_gamb3_a5___2,haven_labelled,Online games: Have you ever paid money to unlock in-game items?,awb5_2_online_gamb3_a5___2,0
awb5_2_online_gamb3_a5___3,haven_labelled,Online games: Have you ever bet with in-game items outside of the game?,awb5_2_online_gamb3_a5___3,0
awb5_2_online_gamb3_a5___4,haven_labelled,Online games: None of the above,awb5_2_online_gamb3_a5___4,0
awb5_2y_knife,haven_labelled,Have you carried a knife/other weapon in past year?,awb5_2y_knife,6.313699537
awb5_2_contactpolice_1,haven_labelled,Have you ever been stopped and questioned by the police?,awb5_2_contactpolice_1,6.260754467
awb5_2_contactpolice_2,haven_labelled,Have you ever been given a formal warning or caution by a police officer?,awb5_2_contactpolice_2,6.432825943
awb4_1_physical_actvty_1_a5,haven_labelled,How many mornings actively travel to school in past week?,awb4_1_physical_actvty_1_a5,7.028457975
awb4_1_physical_actvty_2_a5,haven_labelled,How often were you active in PE in past week?,awb4_1_physical_actvty_2_a5,6.975512905
awb4_1_physical_actvty_3_a5,haven_labelled,What did you normally do at lunch in past week?,awb4_1_physical_actvty_3_a5,7.624090007
awb4_1_physical_actvty_4_a5,haven_labelled,What did you normally do at break time in past week?,awb4_1_physical_actvty_4_a5,7.822634017
awb4_1_physical_actvty_5_a5,haven_labelled,How many afternoons did you actively travel from school in past week?,awb4_1_physical_actvty_5_a5,8.087359365
awb4_1_physical_actvty_6_a5,haven_labelled,How many days did you do sports after school in past week?,awb4_1_physical_actvty_6_a5,8.524156188
awb4_1_physical_actvty_7_a5,haven_labelled,How many evenings did you do sports in past week?,awb4_1_physical_actvty_7_a5,8.775645268
awb4_1_physical_actvty_8_a5,haven_labelled,How many times were you active last weekend?,awb4_1_physical_actvty_8_a5,8.735936466
awb4_1_sick_a5,haven_labelled,"Were you sick last week, or did anything prevent your normal physical activities?",awb4_1_sick_a5,8.577101257
awb4_1y_sick_a5,character,Sick last weeK: What prevented you doing physical activities?,awb4_1y_sick_a5,0
awb4_2_outside_schl_1_r7,haven_labelled,How long did you watch TV outside of school?,awb4_2_outside_schl_1_r7,8.087359365
awb4_2_outside_schl_2_r7,haven_labelled,How long did you play video games outside of school?,awb4_2_outside_schl_2_r7,8.259430841
awb4_2_outside_schl_3_r7,haven_labelled,How long did you use computers/tablets outside of school?,awb4_2_outside_schl_3_r7,8.81535407
awb4_2_outside_schl_4_r7,haven_labelled,How long did you use a mobile outside of school?,awb4_2_outside_schl_4_r7,8.259430841
awb4_2_overall_a5,haven_labelled,What are your typical sedentary habits at home: typical week,awb4_2_overall_a5,10.44341496
awb4_3_times2_a5,haven_labelled,"On school nights, what time do you typically fall asleep",awb4_3_times2_a5,8.894771674
awb4_3_times3_a5,haven_labelled,"On school days, what time do you typically wake up for the day",awb4_3_times3_a5,9.31833223
awb4_3_times4_a5,haven_labelled,"On non-school nights, what time do you typically fall asleep",awb4_3_times4_a5,10.32428855
awb4_3_times5_a5,haven_labelled,"On non-school days, what time do you typically wake up for the day",awb4_3_times5_a5,10.29781602
awb4_3_sleep_well_nght_a5,haven_labelled,Do you sleep well at night?,awb4_3_sleep_well_nght_a5,7.25347452
awb4_3_sleep_drngday_a5,haven_labelled,How likely are you to feel sleepy during the day?,awb4_3_sleep_drngday_a5,7.293183322
age_survey232_m,numeric,Age (months) at survey date,age_survey232_m,0
survey232_version,haven_labelled,Survey version,survey232_version,0.026472535
survey232_mode,haven_labelled,Survey taken online or offline?,survey232_mode,0
awb2_1_illhealth_1,haven_labelled,How often do you feel sad or empty?,awb2_1_illhealth_1,43.94440768
awb2_1_illhealth_10,haven_labelled,How often do you have problems with appetite?,awb2_1_illhealth_10,44.57974851
awb2_1_illhealth_11,haven_labelled,How often do you suddenly become dizzy/faint for no reason?,awb2_1_illhealth_11,44.20913302
awb2_1_illhealth_12,haven_labelled,How often do you have to do some things over and over again?,awb2_1_illhealth_12,44.40767704
awb2_1_illhealth_13,haven_labelled,How often do you have no energy for things?,awb2_1_illhealth_13,44.15618795
awb2_1_illhealth_14,haven_labelled,How often do you suddenly tremble/shake for no reason?,awb2_1_illhealth_14,44.44738584
awb2_1_illhealth_15,haven_labelled,How often is it when you can't think clearly?,awb2_1_illhealth_15,44.4209133
awb2_1_illhealth_16,haven_labelled,How often do you feel worthless?,awb2_1_illhealth_16,44.71211118
awb2_1_illhealth_17,haven_labelled,How often do you think special thoughts to stop bad happening?,awb2_1_illhealth_17,44.79152879
awb2_1_illhealth_18,haven_labelled,How often do you think about death?,awb2_1_illhealth_18,44.79152879
awb2_1_illhealth_19,haven_labelled,How often do you feel like you don't want to move?,awb2_1_illhealth_19,44.75181999
awb2_1_illhealth_2,haven_labelled,How often do you worry when you think you have done poorly at something?,awb2_1_illhealth_2,44.18266049
awb2_1_illhealth_20,haven_labelled,How often do you worry about being scared for no reason?,awb2_1_illhealth_20,44.76505625
awb2_1_illhealth_21,haven_labelled,How often do you feel you are tired alot?,awb2_1_illhealth_21,44.48709464
awb2_1_illhealth_22,haven_labelled,How often do you feel afraid you will make a fool of yourself?,awb2_1_illhealth_22,44.64592985
awb2_1_illhealth_23,haven_labelled,How often do you do something the right way to stop bad things happening?,awb2_1_illhealth_23,45.0694904
awb2_1_illhealth_24,haven_labelled,How often do you feel restless?,awb2_1_illhealth_24,45.28127068
awb2_1_illhealth_25,haven_labelled,How often do you worry something bad will happen to you?,awb2_1_illhealth_25,45.05625414
awb2_1_illhealth_3,haven_labelled,How often do you feel afraid to be home alone?,awb2_1_illhealth_3,44.06353408
awb2_1_illhealth_4,haven_labelled,How often do you feel nothing is much fun anymore?,awb2_1_illhealth_4,44.3812045
awb2_1_illhealth_5,haven_labelled,How often do you worry that something awful will happen to someone in family?,awb2_1_illhealth_5,44.47385837
awb2_1_illhealth_6,haven_labelled,How often do you feel afraid of being in crowded places?,awb2_1_illhealth_6,44.24884183
awb2_1_illhealth_7,haven_labelled,How often do you worry what others think of you?,awb2_1_illhealth_7,44.18266049
awb2_1_illhealth_8,haven_labelled,How often do you have trouble sleeping?,awb2_1_illhealth_8,44.16942422
awb2_1_illhealth_9,haven_labelled,How often do you feel scared to sleep alone?,awb2_1_illhealth_9,44.12971542
awb2_1_sdq_1_a10,haven_labelled,SDQ: last 6mo: I try to be nice to other people. I care about their feelings,awb2_1_sdq_1_a10,66.71078756
awb2_1_sdq_10_a10,haven_labelled,SDQ: last 6mo: I am constantly fidgeting or squirming,awb2_1_sdq_10_a10,67.18729318
awb2_1_sdq_11_a10,haven_labelled,SDQ: last 6mo: I have one good friend or more,awb2_1_sdq_11_a10,66.94904037
awb2_1_sdq_12_a10,haven_labelled,SDQ: last 6mo: I fight a lot.  I can make other people do what I want,awb2_1_sdq_12_a10,67.01522171
awb2_1_sdq_13_a10,haven_labelled,"SDQ: last 6mo: I am often unhappy, down-hearted, or tearful",awb2_1_sdq_13_a10,67.02845797
awb2_1_sdq_14_a10,haven_labelled,SDQ: last 6mo: Other people my age generally like me,awb2_1_sdq_14_a10,67.16082065
awb2_1_sdq_15_a10,haven_labelled,"SDQ: last 6mo: I am easily distracted, I find it difficult to concentrate",awb2_1_sdq_15_a10,67.13434811
awb2_1_sdq_16_a10,haven_labelled,SDQ: last 6mo: I am nervous in new situations. I easily lose confidence,awb2_1_sdq_16_a10,67.08140304
awb2_1_sdq_17_a10,haven_labelled,SDQ: last 6mo: I am kind to younger children,awb2_1_sdq_17_a10,67.00198544
awb2_1_sdq_18_a10,haven_labelled,SDQ: last 6mo: I am often accused of lying or cheating,awb2_1_sdq_18_a10,67.17405692
awb2_1_sdq_19_a10,haven_labelled,SDQ: last 6mo: Other children or young people pick on me or bully me,awb2_1_sdq_19_a10,67.25347452
awb2_1_sdq_2_a10,haven_labelled,"SDQ: last 6mo: I am restless, I cannot stay still for long",awb2_1_sdq_2_a10,67.01522171
awb2_1_sdq_20_a10,haven_labelled,"SDQ: last 6mo: I often volunteer to help others (parents, teachers, children)",awb2_1_sdq_20_a10,67.25347452
awb2_1_sdq_21_a10,haven_labelled,SDQ: last 6mo: I think before I do things,awb2_1_sdq_21_a10,67.09463931
awb2_1_sdq_22_a10,haven_labelled,"SDQ: last 6mo: I take things that are not mine from home, school or elsewhere",awb2_1_sdq_22_a10,67.25347452
awb2_1_sdq_23_a10,haven_labelled,SDQ: last 6mo: I get on better with adults than with people my own age,awb2_1_sdq_23_a10,67.24023825
awb2_1_sdq_24_a10,haven_labelled,"SDQ: last 6mo: I have many fears, I am easily scared",awb2_1_sdq_24_a10,67.18729318
awb2_1_sdq_25_a10,haven_labelled,SDQ: last 6mo: I finish the work I'm doing. My attention is good,awb2_1_sdq_25_a10,67.21376572
awb2_1_sdq_3_a10,haven_labelled,"SDQ: last 6mo: I get a lot of headaches, stomach-aches, or sickness",awb2_1_sdq_3_a10,66.8563865
awb2_1_sdq_4_a10,haven_labelled,"SDQ: last 6mo: I usually share with others (food, games, pens etc.)",awb2_1_sdq_4_a10,66.98874917
awb2_1_sdq_5_a10,haven_labelled,SDQ: last 6mo: I get very angry and often lose my temper,awb2_1_sdq_5_a10,66.92256784
awb2_1_sdq_6_a10,haven_labelled,SDQ: last 6mo: I am usually on my own. I generally play alone or keep to myself,awb2_1_sdq_6_a10,67.06816678
awb2_1_sdq_7_a10,haven_labelled,SDQ: last 6mo: I usually do as I am told,awb2_1_sdq_7_a10,67.04169424
awb2_1_sdq_8_a10,haven_labelled,SDQ: last 6mo: I worry a lot,awb2_1_sdq_8_a10,66.98874917
awb2_1_sdq_9_a10,haven_labelled,"SDQ: last 6mo: I am helpful if someone is hurt, upset, or feeling ill",awb2_1_sdq_9_a10,67.01522171
awb2_2_optmstc_1_a4,haven_labelled,Have you felt optimistic about the future over past 2 weeks?,awb2_2_optmstc_1_a4,4.765056254
awb2_2_useful_2_a4,haven_labelled,Have you felt useful over past 2 weeks?,awb2_2_useful_2_a4,4.262078094
awb2_2_relxed_3_a4,haven_labelled,Have you felt relaxed over the past 2 weeks?,awb2_2_relxed_3_a4,3.62673726
awb2_2_problems_4_a4,haven_labelled,Have you dealt with problems well over the past 2 weeks?,awb2_2_problems_4_a4,4.169424222
awb2_2_think_clr_5_a4,haven_labelled,Have you been thinking clearly over the past 2 weeks?,awb2_2_think_clr_5_a4,3.891462608
awb2_2_close_othrs_6_a4,haven_labelled,Have you felt close to others over the past 2 weeks?,awb2_2_close_othrs_6_a4,4.420913302
awb2_2_own_mnd_7_a4,haven_labelled,Have you made your own mind up about things over past 2 weeks?,awb2_2_own_mnd_7_a4,4.076770351
awb2_3_self_effccy,haven_labelled,When you find something hard can you work out what to do?,awb2_3_self_effccy,4.142951688
awb2_4_loneliness_1,haven_labelled,How often do you feel that you lack friendship?,awb2_4_loneliness_1,3.87822634
awb2_4_loneliness_2,haven_labelled,How often do you feel left out?,awb2_4_loneliness_2,3.93117141
awb2_4_loneliness_3,haven_labelled,How often do you feel isolated from others?,awb2_4_loneliness_3,4.076770351
awb2_4_loneliness_4,haven_labelled,How often do you feel alone?,awb2_4_loneliness_4,3.93117141
awb2_9_trust,haven_labelled,Would you say most people can be trusted/you can't be too careful?,awb2_9_trust,6.154864328
awb2_9_seek_hlp_ppl_1_r4,haven_labelled,How likely would you seek help from partner?,awb2_9_seek_hlp_ppl_1_r4,5.413633355
awb2_9_seek_hlp_ppl_10,haven_labelled,How likely is it you would not seek help from anyone?,awb2_9_seek_hlp_ppl_10,7.399073461
awb2_9_seek_hlp_ppl_11,character,Would you seek help from another not listed above? (list),awb2_9_seek_hlp_ppl_11,0
awb2_9_seek_hlp_ppl_2,haven_labelled,How likely would you seek help from a friend?,awb2_9_seek_hlp_ppl_2,5.99602912
awb2_9_seek_hlp_ppl_3,haven_labelled,How likely would you seek help from a parent/carer?,awb2_9_seek_hlp_ppl_3,5.797485109
awb2_9_seek_hlp_ppl_4,haven_labelled,How likely would you seek help from another relative/family member?,awb2_9_seek_hlp_ppl_4,6.207809398
awb2_9_seek_hlp_ppl_5,haven_labelled,How likely would you seek help from a mental health professional?,awb2_9_seek_hlp_ppl_5,8.338848445
awb2_9_seek_hlp_ppl_6,haven_labelled,How likely would you seek help from a phone helpline?,awb2_9_seek_hlp_ppl_6,8.537392455
awb2_9_seek_hlp_ppl_7,haven_labelled,How likely would you seek help from a doctor/GP?,awb2_9_seek_hlp_ppl_7,8.193249504
awb2_9_seek_hlp_ppl_8,haven_labelled,How likely would you seek help from a religious leader?,awb2_9_seek_hlp_ppl_8,8.365320979
awb2_9_seek_hlp_ppl_9_a_4,haven_labelled,How likely would you seek help from a teacher/other school staff?,awb2_9_seek_hlp_ppl_9_a_4,7.677035076
awb2_9_seek_hlp_ppl_othr_a3,haven_labelled,Would you seek help from another not listed above?,awb2_9_seek_hlp_ppl_othr_a3,8.960953011
awb2_9_seek_hurt_self_a5,haven_labelled,"In the past year, have you hurt yourself on purpose in any way?",awb2_9_seek_hurt_self_a5,7.743216413
awb2_9_resil1_a5,haven_labelled,I tend to bounce back quickly after hard times,awb2_9_resil1_a5,73.92455328
awb2_9_resil2_a5,haven_labelled,I have a hard time making it through stressful events,awb2_9_resil2_a5,73.56717406
awb2_9_resil3_a5,haven_labelled,It does not take me long to recover from a stressful event,awb2_9_resil3_a5,73.7921906
awb2_9_resil4_a5,haven_labelled,It is hard for me to snap back when something bad happens,awb2_9_resil4_a5,74.00397088
awb2_9_resil5_a5,haven_labelled,I usually come through difficult times with little trouble,awb2_9_resil5_a5,74.65254798
awb2_9_resil6_a5,haven_labelled,I tend to take a long time to get over set-backs in my life,awb2_9_resil6_a5,75.06287227
awb2_11_psychosis_3_r4,haven_labelled,Have you ever heard voices that others cannot hear?,awb2_11_psychosis_3_r4,74.57313038
awb2_11_upsetting_3_a4,haven_labelled,How upsetting if you heard voices others couldn't hear?,awb2_11_upsetting_3_a4,92.4553276
awb2_11_pst_yr_3_a4,haven_labelled,How often have you heard voices that other people couldnt hear in the last year?,awb2_11_pst_yr_3_a4,92.66710788
awb2_11_psychosis_5_r4,haven_labelled,Have you ever seen something others cannot see?,awb2_11_psychosis_5_r4,74.77167439
awb2_11_upsetting_5_a4,haven_labelled,How upsetting if you have seen something other couldn't see?,awb2_11_upsetting_5_a4,94.30840503
awb2_11_pst_yr_5_a4,haven_labelled,How often have you seen something others couldn't see in past year?,awb2_11_pst_yr_5_a4,94.37458637
awb2_11_psychosis_2_r4,haven_labelled,Have you ever thought you was being followed/spied on?,awb2_11_psychosis_2_r4,74.78491066
awb2_11_upsetting_2_a4,haven_labelled,How upsetting if you thought you were being followed/spied on?,awb2_11_upsetting_2_a4,89.75512905
awb2_11_pst_yr_2_a4,haven_labelled,How often have you thought you were being followed or spied on in the past year?,awb2_11_pst_yr_2_a4,89.80807412
awb2_11_plot_hrm_a4,haven_labelled,Ever believed people following you/spying on you as part of a plot,awb2_11_plot_hrm_a4,89.92720053
awb2_11_psychosis_10_r4,haven_labelled,Have other people ever read your thoughts?,awb2_11_psychosis_10_r4,75.02316347
awb2_11_upsetting_10_a4,haven_labelled,"At its worst, how upsetting did you find people reading your thoughts?",awb2_11_upsetting_10_a4,94.67902052
awb2_11_pst_yr_10_a4,haven_labelled,How often have you believed that other people can read your thoughts in the past,awb2_11_pst_yr_10_a4,94.63931171
awb2_11_pwrs_read_a4,haven_labelled,Do you think people use special powers to read your thoughts?,awb2_11_pwrs_read_a4,74.98345467
awb2_11_psychosis_1_r4,haven_labelled,Have you thought you were being sent messages through TV arranged just for you?,awb2_11_psychosis_1_r4,75.22170748
awb2_11_upsetting_1_a4,haven_labelled,How upsetting if you believed you were being sent special messages through TV,awb2_11_upsetting_1_a4,96.94242224
awb2_11_pst_yr_1_a4,haven_labelled,How often have you been sent special messages through TV in the past year?,awb2_11_pst_yr_1_a4,96.9159497
awb2_11_psychosis_4_r4,haven_labelled,Have you ever felt under control of a special power?,awb2_11_psychosis_4_r4,75.14228987
awb2_11_upsetting_4_a4,haven_labelled,How upsetting if you felt under control of a special power?,awb2_11_upsetting_4_a4,97.98808736
awb2_11_pst_yr_4_a4,haven_labelled,How often you thought you were under control of a special power in past year,awb2_11_pst_yr_4_a4,98.02779616
awb2_11_cntrl_who_a4,haven_labelled,Who did you think was controlling you (at any time in the past)?,awb2_11_cntrl_who_a4,98.0939775
awb2_11_cntrl_no_will_a4,haven_labelled,"Did it control what you were doing or thinking, no will of your own",awb2_11_cntrl_no_will_a4,98.0542687
awb2_11_psychosis_9_r4,haven_labelled,Have you ever felt like you have special powers?,awb2_11_psychosis_9_r4,75.26141628
awb2_11_pst_yr_9_a4,haven_labelled,How often thought you were very special/have special powers past year,awb2_11_pst_yr_9_a4,97.61747187
awb7_1_wntr_mnths,haven_labelled,How often do you visit parks and green spaces? During the winter months,awb7_1_wntr_mnths,7.822634017
awb7_1_smmr_mnths,haven_labelled,How often do you visit parks and green spaces? During the spring/summer months,awb7_1_smmr_mnths,8.431502316
awb7_2_pollution,haven_labelled,What do you think about the air quality in Bradford?,awb7_2_pollution,8.232958306
awb7_3_clmte_chnge_feelng,haven_labelled,How pos/neg do you feel about the future of the environment?,awb7_3_clmte_chnge_feelng,10.11250827
awb7_1_like,haven_labelled,School: I enjoy school,awb7_1_like,8.352084712
awb7_1_trust,haven_labelled,School: There is an adult at school I can talk to if something is worrying me,awb7_1_trust,9.56982131
awb7_1_bullying_1_on,haven_labelled,Is bullying a problem at your school?,awb7_1_bullying_1_on,100
awb7_1_bullying_1_off,haven_labelled,Is bullying a problem at your school?,awb7_1_bullying_1_off,100
awb7_1_bullying_1,haven_labelled,Is bullying a problem at your school?,awb7_1_bullying_1,11.237591
awb7_1_safe_r8,haven_labelled,I feel safe when I am at school,awb7_1_safe_r8,9.609530113
awb7_1_safe1_r8,haven_labelled,I feel safe when I am at school,awb7_1_safe1_r8,100
awb7_2_grades_a5,haven_labelled,School pressure: Competition with other people for grades is intense,awb7_2_grades_a5,10.7081403
awb7_2_fam_diss_a5,haven_labelled,School pressure: If I dont do well in school my family will be disappointed,awb7_2_fam_diss_a5,9.993381866
awb7_2_prnt_preshr_a5,haven_labelled,School pressure: My teachers put too much pressure on me to do well in school,awb7_2_prnt_preshr_a5,10.23163468
awb7_2_progrssng_a5,haven_labelled,School pressure: Im worried about progressing in the future,awb7_2_progrssng_a5,10.28457975
awb7_2_dnt_do_well_a5,haven_labelled,"School pressure: If I dont do well in school, Ill be a failure",awb7_2_dnt_do_well_a5,10.44341496
awb7_2_acad_strss_r8,haven_labelled,School pressure: Often feel stressed because of pressure to do well in school,awb7_2_acad_strss_r8,10.93315685
awb7_2_test_wrries_a5,haven_labelled,"School pressure: I worry about doing well in tests, exams and assessments",awb7_2_test_wrries_a5,10.60225017
awb2_7_friends_physcl_a5,haven_labelled,How many in-person friends do you have?,awb2_7_friends_physcl_a5,100
awb2_7_friends_physcl_r10,haven_labelled,How many in-person friends do you have?,awb2_7_friends_physcl_r10,9.900727995
awb2_7_friends_onln_a5,haven_labelled,How many online friends do you have?,awb2_7_friends_onln_a5,100
awb2_7_friends_onln_r10,haven_labelled,How many online friends do you have?,awb2_7_friends_onln_r10,10.15221707
awb2_7_friends_clse_a5,haven_labelled,Do you have any close friends?,awb2_7_friends_clse_a5,10.23163468
awb2_7_friends_clse_1_a5,haven_labelled,How many of your close friends work hard at school?,awb2_7_friends_clse_1_a5,100
awb2_7_friends_clse_2_a5,haven_labelled,How many of your close friends get into a lot of trouble at school?,awb2_7_friends_clse_2_a5,100
awb8_1_morality_1,haven_labelled,Is it wrong for someone your age to start a fight?,awb8_1_morality_1,100
awb8_1_morality_1_r10,haven_labelled,Do people your age: Start a fight with someone?,awb8_1_morality_1_r10,11.67438782
awb8_1_morality_2,haven_labelled,Is it wrong for someone your age to spray paint on buildings?,awb8_1_morality_2,100
awb8_1_morality_2_r10,haven_labelled,"Do people your age: Write things/spray paint on a building, fence, train",awb8_1_morality_2_r10,12.52150893
awb8_1_morality_3,haven_labelled,Is it wrong for someone your age to steal something from a shop?,awb8_1_morality_3,100
awb8_1_morality_3_r10,haven_labelled,Do people your age: Take something from a shop without paying for it,awb8_1_morality_3_r10,12.69358041
awb8_1_morality_4,haven_labelled,Is it wrong for someone your age to download content without paying?,awb8_1_morality_4,100
awb8_1_morality_4_r10,haven_labelled,Do people your age: Copy/download music/games/films without paying,awb8_1_morality_4_r10,13.69953673
awb8_3_bully,haven_labelled,How often have you taken part in bullying somebody at school?,awb8_3_bully,13.97749835
awb8_2_bullied,haven_labelled,How often have you been bullied at school in the past couple of months?,awb8_2_bullied,14.13633355
awb8_2_bullied_onlne,haven_labelled,How often have you been bullied online?,awb8_2_bullied_onlne,14.70549305
awb8_2_bully_onlne,haven_labelled,"In the past couple of months, how often have you taken part in online bullying?",awb8_2_bully_onlne,14.4010589
awb8_2_club_1,haven_labelled,Have you ever been discouraged from joining a club/group?,awb8_2_club_1,13.68630046
awb8_2_club_rsn_1___1,haven_labelled,Were you discourage from joining a club/group because your ethnicity?,awb8_2_club_rsn_1___1,0
awb8_2_club_rsn_1___2,haven_labelled,Were you discourage from joining a club/group because your sex/gender?,awb8_2_club_rsn_1___2,0
awb8_2_club_rsn_1___3,haven_labelled,Were you discourage from joining a club/group because your disability?,awb8_2_club_rsn_1___3,0
awb8_2_club_rsn_1___4,haven_labelled,Were you discourage from joining a club/group because your religion?,awb8_2_club_rsn_1___4,0
awb8_2_club_rsn_1___5,haven_labelled,Were you discourage from joining a club/group because your class?,awb8_2_club_rsn_1___5,0
awb8_2_club_rsn_1___6,haven_labelled,Were you discourage from joining a club/group because your neurodiversity?,awb8_2_club_rsn_1___6,0
awb8_2_club_rsn_1___7,haven_labelled,Were you discourage from joining a club/group because your sexuality?,awb8_2_club_rsn_1___7,0
awb8_2_club_rsn_1___8,haven_labelled,Were you discourage from joining a club/group because of something else?,awb8_2_club_rsn_1___8,0
awb8_2_club_rsn_2,character,Were you discourage from joining a club/group because of something else?,awb8_2_club_rsn_2,0
awb8_2_excl_2,haven_labelled,Have others your age not included you in their activities?,awb8_2_excl_2,14.2819325
awb8_2_excl_rsn_1___1,haven_labelled,Were you excluded from activities because of your ethnicity?,awb8_2_excl_rsn_1___1,0
awb8_2_excl_rsn_1___2,haven_labelled,Were you excluded from activities because of your sex/gender?,awb8_2_excl_rsn_1___2,0
awb8_2_excl_rsn_1___3,haven_labelled,Were you excluded from activities because of your disability?,awb8_2_excl_rsn_1___3,0
awb8_2_excl_rsn_1___4,haven_labelled,Were you excluded from activities because of your religion?,awb8_2_excl_rsn_1___4,0
awb8_2_excl_rsn_1___5,haven_labelled,Were you excluded from activities because of your class?,awb8_2_excl_rsn_1___5,0
awb8_2_excl_rsn_1___6,haven_labelled,Were you excluded from activities because of your neurodiversity?,awb8_2_excl_rsn_1___6,0
awb8_2_excl_rsn_1___7,haven_labelled,Were you excluded from activities because of your sexuality?,awb8_2_excl_rsn_1___7,0
awb8_2_excl_rsn_1___8,haven_labelled,Were you excluded from activities because of something else?,awb8_2_excl_rsn_1___8,0
awb8_2_excl_rsn_2,character,Were you excluded from activities because of something else?,awb8_2_excl_rsn_2,0
awb8_2_age_3,haven_labelled,Have people expected less of you than others your age?,awb8_2_age_3,15.60555923
awb8_2_age_rsn_1___1,haven_labelled,Did people expect less of you because of your ethnicity?,awb8_2_age_rsn_1___1,0
awb8_2_age_rsn_1___2,haven_labelled,Did people expect less of you because of your sex/gender?,awb8_2_age_rsn_1___2,0
