Curated_variable_name,Curated_variable_type,Curated_variable_label,BiBAgeOfWonder_survey,BiBAgeOfWonder_variable_name,BiBAgeOfWonder_variable_label,Theme
pa_to_school,haven_labelled,How many mornings actively travel to school in past week?,survey_mod231_main_dr24,awb4_1_physical_actvty_1_a5,How many mornings actively travel to school in past week?,physicalhealth2
pa_pe,haven_labelled,How often were you active in PE in past week?,survey_mod231_main_dr24,awb4_1_physical_actvty_2_a5,How often were you active in PE in past week?,physicalhealth2
pa_lunch,haven_labelled,What did you normally do at lunch in past week?,survey_mod231_main_dr24,awb4_1_physical_actvty_3_a5,What did you normally do at lunch in past week?,physicalhealth2
pa_break,haven_labelled,What did you normally do at break time in past week?,survey_mod231_main_dr24,awb4_1_physical_actvty_4_a5,What did you normally do at break time in past week?,physicalhealth2
pa_from_school,haven_labelled,How many afternoons did you actively travel from school in past week?,survey_mod231_main_dr24,awb4_1_physical_actvty_5_a5,How many afternoons did you actively travel from school in past week?,physicalhealth2
pa_after_school,haven_labelled,How many days did you do sports after school in past week?,survey_mod231_main_dr24,awb4_1_physical_actvty_6_a5,How many days did you do sports after school in past week?,physicalhealth2
pa_evening,haven_labelled,How many evenings did you do sports in past week?,survey_mod231_main_dr24,awb4_1_physical_actvty_7_a5,How many evenings did you do sports in past week?,physicalhealth2
pa_weekend,haven_labelled,How many times were you active last weekend?,survey_mod231_main_dr24,awb4_1_physical_actvty_8_a5,How many times were you active last weekend?,physicalhealth2
pa_sick,haven_labelled,"Were you sick last week, or did anything prevent your normal physical activities?",survey_mod231_main_dr24,awb4_1_sick_a5,"Were you sick last week, or did anything prevent your normal physical activities?",physicalhealth2
yaps_item_1,haven_labelled,How long did you watch TV outside of school?,survey_mod231_main_dr24,awb4_2_outside_schl_1_r7,How long did you watch TV outside of school?,physicalhealth2
yaps_item_2,haven_labelled,How long did you play video games outside of school?,survey_mod231_main_dr24,awb4_2_outside_schl_2_r7,How long did you play video games outside of school?,physicalhealth2
yaps_item_3,haven_labelled,How long did you use computers/tablets outside of school?,survey_mod231_main_dr24,awb4_2_outside_schl_3_r7,How long did you use computers/tablets outside of school?,physicalhealth2
yaps_item_4,haven_labelled,How long did you use a mobile outside of school?,survey_mod231_main_dr24,awb4_2_outside_schl_4_r7,How long did you use a mobile outside of school?,physicalhealth2
yaps_item_5,haven_labelled,What are your typical sedentary habits at home: typical week,survey_mod231_main_dr24,awb4_2_overall_a5,What are your typical sedentary habits at home: typical week,physicalhealth2
sleep_time_school,haven_labelled,"On school nights, what time do you typically fall asleep",survey_mod231_main_dr24,awb4_3_times2_a5,"On school nights, what time do you typically fall asleep",physicalhealth2
sleep_wake_school,haven_labelled,"On school days, what time do you typically wake up for the day",survey_mod231_main_dr24,awb4_3_times3_a5,"On school days, what time do you typically wake up for the day",physicalhealth2
sleep_time,haven_labelled,"On non-school nights, what time do you typically fall asleep",survey_mod231_main_dr24,awb4_3_times4_a5,"On non-school nights, what time do you typically fall asleep",physicalhealth2
sleep_wake,haven_labelled,"On non-school days, what time do you typically wake up for the day",survey_mod231_main_dr24,awb4_3_times5_a5,"On non-school days, what time do you typically wake up for the day",physicalhealth2
sleep_well,haven_labelled,Do you sleep well at night?,survey_mod231_main_dr24,awb4_3_sleep_well_nght_a5,Do you sleep well at night?,physicalhealth2
sleepy_day,haven_labelled,How likely are you to feel sleepy during the day?,survey_mod231_main_dr24,awb4_3_sleep_drngday_a5,How likely are you to feel sleepy during the day?,physicalhealth2
rcads_item_1,numeric,,survey_mod232_main_dr24,awb2_1_illhealth_1,How often do you feel sad or empty?,mentalhealthwellbeing
rcads_item_10,numeric,,survey_mod232_main_dr24,awb2_1_illhealth_10,How often do you have problems with appetite?,mentalhealthwellbeing
rcads_item_11,numeric,,survey_mod232_main_dr24,awb2_1_illhealth_11,How often do you suddenly become dizzy/faint for no reason?,mentalhealthwellbeing
rcads_item_12,numeric,,survey_mod232_main_dr24,awb2_1_illhealth_12,How often do you have to do some things over and over again?,mentalhealthwellbeing
rcads_item_13,numeric,,survey_mod232_main_dr24,awb2_1_illhealth_13,How often do you have no energy for things?,mentalhealthwellbeing
rcads_item_14,numeric,,survey_mod232_main_dr24,awb2_1_illhealth_14,How often do you suddenly tremble/shake for no reason?,mentalhealthwellbeing
rcads_item_15,numeric,,survey_mod232_main_dr24,awb2_1_illhealth_15,How often is it when you can't think clearly?,mentalhealthwellbeing
rcads_item_16,numeric,,survey_mod232_main_dr24,awb2_1_illhealth_16,How often do you feel worthless?,mentalhealthwellbeing
rcads_item_17,numeric,,survey_mod232_main_dr24,awb2_1_illhealth_17,How often do you think special thoughts to stop bad happening?,mentalhealthwellbeing
rcads_item_18,numeric,,survey_mod232_main_dr24,awb2_1_illhealth_18,How often do you think about death?,mentalhealthwellbeing
rcads_item_19,numeric,,survey_mod232_main_dr24,awb2_1_illhealth_19,How often do you feel like you don't want to move?,mentalhealthwellbeing
rcads_item_2,numeric,,survey_mod232_main_dr24,awb2_1_illhealth_2,How often do you worry when you think you have done poorly at something?,mentalhealthwellbeing
rcads_item_20,numeric,,survey_mod232_main_dr24,awb2_1_illhealth_20,How often do you worry about being scared for no reason?,mentalhealthwellbeing
rcads_item_21,numeric,,survey_mod232_main_dr24,awb2_1_illhealth_21,How often do you feel you are tired alot?,mentalhealthwellbeing
rcads_item_22,numeric,,survey_mod232_main_dr24,awb2_1_illhealth_22,How often do you feel afraid you will make a fool of yourself?,mentalhealthwellbeing
rcads_item_23,numeric,,survey_mod232_main_dr24,awb2_1_illhealth_23,How often do you do something the right way to stop bad things happening?,mentalhealthwellbeing
rcads_item_24,numeric,,survey_mod232_main_dr24,awb2_1_illhealth_24,How often do you feel restless?,mentalhealthwellbeing
rcads_item_25,numeric,,survey_mod232_main_dr24,awb2_1_illhealth_25,How often do you worry something bad will happen to you?,mentalhealthwellbeing
rcads_item_3,numeric,,survey_mod232_main_dr24,awb2_1_illhealth_3,How often do you feel afraid to be home alone?,mentalhealthwellbeing
rcads_item_4,numeric,,survey_mod232_main_dr24,awb2_1_illhealth_4,How often do you feel nothing is much fun anymore?,mentalhealthwellbeing
rcads_item_5,numeric,,survey_mod232_main_dr24,awb2_1_illhealth_5,How often do you worry that something awful will happen to someone in family?,mentalhealthwellbeing
rcads_item_6,numeric,,survey_mod232_main_dr24,awb2_1_illhealth_6,How often do you feel afraid of being in crowded places?,mentalhealthwellbeing
rcads_item_7,numeric,,survey_mod232_main_dr24,awb2_1_illhealth_7,How often do you worry what others think of you?,mentalhealthwellbeing
rcads_item_8,numeric,,survey_mod232_main_dr24,awb2_1_illhealth_8,How often do you have trouble sleeping?,mentalhealthwellbeing
rcads_item_9,numeric,,survey_mod232_main_dr24,awb2_1_illhealth_9,How often do you feel scared to sleep alone?,mentalhealthwellbeing
sdq_item_21,haven_labelled,SDQ: last 6mo: I try to be nice to other people. I care about their feelings,survey_mod232_main_dr24,awb2_1_sdq_1_a10,SDQ: last 6mo: I try to be nice to other people. I care about their feelings,mentalhealthwellbeing
sdq_item_17,haven_labelled,SDQ: last 6mo: I am constantly fidgeting or squirming,survey_mod232_main_dr24,awb2_1_sdq_10_a10,SDQ: last 6mo: I am constantly fidgeting or squirming,mentalhealthwellbeing
sdq_item_7,numeric,,survey_mod232_main_dr24,awb2_1_sdq_11_a10,SDQ: last 6mo: I have one good friend or more,mentalhealthwellbeing
sdq_item_13,haven_labelled,SDQ: last 6mo: I fight a lot.  I can make other people do what I want,survey_mod232_main_dr24,awb2_1_sdq_12_a10,SDQ: last 6mo: I fight a lot. I can make other people do what I want,mentalhealthwellbeing
sdq_item_3,haven_labelled,"SDQ: last 6mo: I am often unhappy, down-hearted, or tearful",survey_mod232_main_dr24,awb2_1_sdq_13_a10,"SDQ: last 6mo: I am often unhappy, down-hearted, or tearful",mentalhealthwellbeing
sdq_item_8,numeric,,survey_mod232_main_dr24,awb2_1_sdq_14_a10,SDQ: last 6mo: Other people my age generally like me,mentalhealthwellbeing
sdq_item_18,haven_labelled,"SDQ: last 6mo: I am easily distracted, I find it difficult to concentrate",survey_mod232_main_dr24,awb2_1_sdq_15_a10,"SDQ: last 6mo: I am easily distracted, I find it difficult to concentrate",mentalhealthwellbeing
sdq_item_4,haven_labelled,SDQ: last 6mo: I am nervous in new situations. I easily lose confidence,survey_mod232_main_dr24,awb2_1_sdq_16_a10,SDQ: last 6mo: I am nervous in new situations. I easily lose confidence,mentalhealthwellbeing
sdq_item_24,haven_labelled,SDQ: last 6mo: I am kind to younger children,survey_mod232_main_dr24,awb2_1_sdq_17_a10,SDQ: last 6mo: I am kind to younger children,mentalhealthwellbeing
sdq_item_14,haven_labelled,SDQ: last 6mo: I am often accused of lying or cheating,survey_mod232_main_dr24,awb2_1_sdq_18_a10,SDQ: last 6mo: I am often accused of lying or cheating,mentalhealthwellbeing
sdq_item_9,haven_labelled,SDQ: last 6mo: Other children or young people pick on me or bully me,survey_mod232_main_dr24,awb2_1_sdq_19_a10,SDQ: last 6mo: Other children or young people pick on me or bully me,mentalhealthwellbeing
sdq_item_16,haven_labelled,"SDQ: last 6mo: I am restless, I cannot stay still for long",survey_mod232_main_dr24,awb2_1_sdq_2_a10,"SDQ: last 6mo: I am restless, I cannot stay still for long",mentalhealthwellbeing
sdq_item_25,haven_labelled,"SDQ: last 6mo: I often volunteer to help others (parents, teachers, children)",survey_mod232_main_dr24,awb2_1_sdq_20_a10,"SDQ: last 6mo: I often volunteer to help others (parents, teachers, children)",mentalhealthwellbeing
sdq_item_19,numeric,,survey_mod232_main_dr24,awb2_1_sdq_21_a10,SDQ: last 6mo: I think before I do things,mentalhealthwellbeing
sdq_item_15,haven_labelled,"SDQ: last 6mo: I take things that are not mine from home, school or elsewhere",survey_mod232_main_dr24,awb2_1_sdq_22_a10,"SDQ: last 6mo: I take things that are not mine from home, school or elsewhere",mentalhealthwellbeing
sdq_item_10,haven_labelled,SDQ: last 6mo: I get on better with adults than with people my own age,survey_mod232_main_dr24,awb2_1_sdq_23_a10,SDQ: last 6mo: I get on better with adults than with people my own age,mentalhealthwellbeing
sdq_item_5,haven_labelled,"SDQ: last 6mo: I have many fears, I am easily scared",survey_mod232_main_dr24,awb2_1_sdq_24_a10,"SDQ: last 6mo: I have many fears, I am easily scared",mentalhealthwellbeing
sdq_item_20,numeric,,survey_mod232_main_dr24,awb2_1_sdq_25_a10,SDQ: last 6mo: I finish the work I'm doing. My attention is good,mentalhealthwellbeing
sdq_item_1,haven_labelled,"SDQ: last 6mo: I get a lot of headaches, stomach-aches, or sickness",survey_mod232_main_dr24,awb2_1_sdq_3_a10,"SDQ: last 6mo: I get a lot of headaches, stomach-aches, or sickness",mentalhealthwellbeing
sdq_item_22,haven_labelled,"SDQ: last 6mo: I usually share with others (food, games, pens etc.)",survey_mod232_main_dr24,awb2_1_sdq_4_a10,"SDQ: last 6mo: I usually share with others (food, games, pens etc.)",mentalhealthwellbeing
sdq_item_11,haven_labelled,SDQ: last 6mo: I get very angry and often lose my temper,survey_mod232_main_dr24,awb2_1_sdq_5_a10,SDQ: last 6mo: I get very angry and often lose my temper,mentalhealthwellbeing
sdq_item_6,haven_labelled,SDQ: last 6mo: I am usually on my own. I generally play alone or keep to myself,survey_mod232_main_dr24,awb2_1_sdq_6_a10,SDQ: last 6mo: I am usually on my own. I generally play alone or keep to myself,mentalhealthwellbeing
sdq_item_12,numeric,,survey_mod232_main_dr24,awb2_1_sdq_7_a10,SDQ: last 6mo: I usually do as I am told,mentalhealthwellbeing
sdq_item_2,haven_labelled,SDQ: last 6mo: I worry a lot,survey_mod232_main_dr24,awb2_1_sdq_8_a10,SDQ: last 6mo: I worry a lot,mentalhealthwellbeing
sdq_item_23,haven_labelled,"SDQ: last 6mo: I am helpful if someone is hurt, upset, or feeling ill",survey_mod232_main_dr24,awb2_1_sdq_9_a10,"SDQ: last 6mo: I am helpful if someone is hurt, upset, or feeling ill",mentalhealthwellbeing
swemwbs_item_1,haven_labelled,Have you felt optimistic about the future over past 2 weeks?,survey_mod232_main_dr24,awb2_2_optmstc_1_a4,Have you felt optimistic about the future over past 2 weeks?,mentalhealthwellbeing
swemwbs_item_2,haven_labelled,Have you felt useful over past 2 weeks?,survey_mod232_main_dr24,awb2_2_useful_2_a4,Have you felt useful over past 2 weeks?,mentalhealthwellbeing
swemwbs_item_3,haven_labelled,Have you felt relaxed over the past 2 weeks?,survey_mod232_main_dr24,awb2_2_relxed_3_a4,Have you felt relaxed over the past 2 weeks?,mentalhealthwellbeing
swemwbs_item_4,haven_labelled,Have you dealt with problems well over the past 2 weeks?,survey_mod232_main_dr24,awb2_2_problems_4_a4,Have you dealt with problems well over the past 2 weeks?,mentalhealthwellbeing
swemwbs_item_5,haven_labelled,Have you been thinking clearly over the past 2 weeks?,survey_mod232_main_dr24,awb2_2_think_clr_5_a4,Have you been thinking clearly over the past 2 weeks?,mentalhealthwellbeing
swemwbs_item_6,haven_labelled,Have you felt close to others over the past 2 weeks?,survey_mod232_main_dr24,awb2_2_close_othrs_6_a4,Have you felt close to others over the past 2 weeks?,mentalhealthwellbeing
swemwbs_item_7,haven_labelled,Have you made your own mind up about things over past 2 weeks?,survey_mod232_main_dr24,awb2_2_own_mnd_7_a4,Have you made your own mind up about things over past 2 weeks?,mentalhealthwellbeing
self_efficacy,haven_labelled,When you find something hard can you work out what to do?,survey_mod232_main_dr24,awb2_3_self_effccy,When you find something hard can you work out what to do?,mentalhealthwellbeing
loneliness_ucla3_item_1,haven_labelled,How often do you feel that you lack friendship?,survey_mod232_main_dr24,awb2_4_loneliness_1,How often do you feel that you lack friendship?,mentalhealthwellbeing
loneliness_ucla3_item_2,haven_labelled,How often do you feel left out?,survey_mod232_main_dr24,awb2_4_loneliness_2,How often do you feel left out?,mentalhealthwellbeing
loneliness_ucla3_item_3,haven_labelled,How often do you feel isolated from others?,survey_mod232_main_dr24,awb2_4_loneliness_3,How often do you feel isolated from others?,mentalhealthwellbeing
loneliness_ons_item,haven_labelled,How often do you feel alone?,survey_mod232_main_dr24,awb2_4_loneliness_4,How often do you feel alone?,mentalhealthwellbeing
trust,haven_labelled,Would you say most people can be trusted/you can't be too careful?,survey_mod232_main_dr24,awb2_9_trust,Would you say most people can be trusted/you can't be too careful?,mentalhealthwellbeing
helpseek_ghsq_item_1a,haven_labelled,How likely would you seek help from partner?,survey_mod232_main_dr24,awb2_9_seek_hlp_ppl_1_r4,How likely would you seek help from partner?,mentalhealthwellbeing
helpseek_ghsq_item_1i,haven_labelled,How likely is it you would not seek help from anyone?,survey_mod232_main_dr24,awb2_9_seek_hlp_ppl_10,How likely is it you would not seek help from anyone?,mentalhealthwellbeing
helpseek_ghsq_item_1b,haven_labelled,How likely would you seek help from a friend?,survey_mod232_main_dr24,awb2_9_seek_hlp_ppl_2,How likely would you seek help from a friend?,mentalhealthwellbeing
helpseek_ghsq_item_1c,haven_labelled,How likely would you seek help from a parent/carer?,survey_mod232_main_dr24,awb2_9_seek_hlp_ppl_3,How likely would you seek help from a parent/carer?,mentalhealthwellbeing
helpseek_ghsq_item_1d,haven_labelled,How likely would you seek help from another relative/family member?,survey_mod232_main_dr24,awb2_9_seek_hlp_ppl_4,How likely would you seek help from another relative/family member?,mentalhealthwellbeing
helpseek_ghsq_item_1e,haven_labelled,How likely would you seek help from a mental health professional?,survey_mod232_main_dr24,awb2_9_seek_hlp_ppl_5,How likely would you seek help from a mental health professional?,mentalhealthwellbeing
helpseek_ghsq_item_1f,haven_labelled,How likely would you seek help from a phone helpline?,survey_mod232_main_dr24,awb2_9_seek_hlp_ppl_6,How likely would you seek help from a phone helpline?,mentalhealthwellbeing
helpseek_ghsq_item_1g,haven_labelled,How likely would you seek help from a doctor/GP?,survey_mod232_main_dr24,awb2_9_seek_hlp_ppl_7,How likely would you seek help from a doctor/GP?,mentalhealthwellbeing
helpseek_ghsq_item_1h,haven_labelled,How likely would you seek help from a religious leader?,survey_mod232_main_dr24,awb2_9_seek_hlp_ppl_8,How likely would you seek help from a religious leader?,mentalhealthwellbeing
helpseek_teacher,haven_labelled,How likely would you seek help from a teacher/other school staff?,survey_mod232_main_dr24,awb2_9_seek_hlp_ppl_9_a_4,How likely would you seek help from a teacher/other school staff?,mentalhealthwellbeing
helpseek_ghsq_item_1j_binary,haven_labelled,Would you seek help from another not listed above?,survey_mod232_main_dr24,awb2_9_seek_hlp_ppl_othr_a3,Would you seek help from another not listed above?,mentalhealthwellbeing
self_harm,haven_labelled,"In the past year, have you hurt yourself on purpose in any way?",survey_mod232_main_dr24,awb2_9_seek_hurt_self_a5,"In the past year, have you hurt yourself on purpose in any way?",mentalhealthwellbeing
brs_item_1,haven_labelled,I tend to bounce back quickly after hard times,survey_mod232_main_dr24,awb2_9_resil1_a5,I tend to bounce back quickly after hard times,mentalhealthwellbeing
brs_item_2,numeric,,survey_mod232_main_dr24,awb2_9_resil2_a5,I have a hard time making it through stressful events,mentalhealthwellbeing
brs_item_3,haven_labelled,It does not take me long to recover from a stressful event,survey_mod232_main_dr24,awb2_9_resil3_a5,It does not take me long to recover from a stressful event,mentalhealthwellbeing
brs_item_4,numeric,,survey_mod232_main_dr24,awb2_9_resil4_a5,It is hard for me to snap back when something bad happens,mentalhealthwellbeing
brs_item_5,haven_labelled,I usually come through difficult times with little trouble,survey_mod232_main_dr24,awb2_9_resil5_a5,I usually come through difficult times with little trouble,mentalhealthwellbeing
brs_item_6,numeric,,survey_mod232_main_dr24,awb2_9_resil6_a5,I tend to take a long time to get over set-backs in my life,mentalhealthwellbeing
pliks_heard_voices,haven_labelled,Have you ever heard voices that others cannot hear?,survey_mod232_main_dr24,awb2_11_psychosis_3_r4,Have you ever heard voices that others cannot hear?,mentalhealthwellbeing
pliks_heard_voices_distress,haven_labelled,How upsetting if you heard voices others couldn't hear?,survey_mod232_main_dr24,awb2_11_upsetting_3_a4,How upsetting if you heard voices others couldn't hear?,mentalhealthwellbeing
pliks_heard_voices_frequency,haven_labelled,How often have you heard voices that other people couldnt hear in the last year?,survey_mod232_main_dr24,awb2_11_pst_yr_3_a4,How often have you heard voices that other people couldnt hear in the last year?,mentalhealthwellbeing
pliks_seen_things,haven_labelled,Have you ever seen something others cannot see?,survey_mod232_main_dr24,awb2_11_psychosis_5_r4,Have you ever seen something others cannot see?,mentalhealthwellbeing
pliks_seen_things_distress,haven_labelled,How upsetting if you have seen something other couldn't see?,survey_mod232_main_dr24,awb2_11_upsetting_5_a4,How upsetting if you have seen something other couldn't see?,mentalhealthwellbeing
pliks_seen_things_frequency,haven_labelled,How often have you seen something others couldn't see in past year?,survey_mod232_main_dr24,awb2_11_pst_yr_5_a4,How often have you seen something others couldn't see in past year?,mentalhealthwellbeing
pliks_spied_on,haven_labelled,Have you ever thought you was being followed/spied on?,survey_mod232_main_dr24,awb2_11_psychosis_2_r4,Have you ever thought you was being followed/spied on?,mentalhealthwellbeing
pliks_spied_on_distress,haven_labelled,How upsetting if you thought you were being followed/spied on?,survey_mod232_main_dr24,awb2_11_upsetting_2_a4,How upsetting if you thought you were being followed/spied on?,mentalhealthwellbeing
pliks_spied_on_frequency,haven_labelled,How often have you thought you were being followed or spied on in the past year?,survey_mod232_main_dr24,awb2_11_pst_yr_2_a4,How often have you thought you were being followed or spied on in the past year?,mentalhealthwellbeing
pliks_spied_on_plot,haven_labelled,Ever believed people following you/spying on you as part of a plot,survey_mod232_main_dr24,awb2_11_plot_hrm_a4,Ever believed people following you/spying on you as part of a plot,mentalhealthwellbeing
pliks_thoughts_read,haven_labelled,Have other people ever read your thoughts?,survey_mod232_main_dr24,awb2_11_psychosis_10_r4,Have other people ever read your thoughts?,mentalhealthwellbeing
pliks_thoughts_read_distress,haven_labelled,"At its worst, how upsetting did you find people reading your thoughts?",survey_mod232_main_dr24,awb2_11_upsetting_10_a4,"At its worst, how upsetting did you find people reading your thoughts?",mentalhealthwellbeing
pliks_thoughts_read_frequency,haven_labelled,How often have you believed that other people can read your thoughts in the past,survey_mod232_main_dr24,awb2_11_pst_yr_10_a4,How often have you believed that other people can read your thoughts in the past,mentalhealthwellbeing
pliks_thoughts_read_powers,haven_labelled,Do you think people use special powers to read your thoughts?,survey_mod232_main_dr24,awb2_11_pwrs_read_a4,Do you think people use special powers to read your thoughts?,mentalhealthwellbeing
pliks_tv_messages,haven_labelled,Have you thought you were being sent messages through TV arranged just for you?,survey_mod232_main_dr24,awb2_11_psychosis_1_r4,Have you thought you were being sent messages through TV arranged just for you?,mentalhealthwellbeing
pliks_tv_messages_distress,haven_labelled,How upsetting if you believed you were being sent special messages through TV,survey_mod232_main_dr24,awb2_11_upsetting_1_a4,How upsetting if you believed you were being sent special messages through TV,mentalhealthwellbeing
pliks_tv_messages_frequency,haven_labelled,How often have you been sent special messages through TV in the past year?,survey_mod232_main_dr24,awb2_11_pst_yr_1_a4,How often have you been sent special messages through TV in the past year?,mentalhealthwellbeing
pliks_under_control,haven_labelled,Have you ever felt under control of a special power?,survey_mod232_main_dr24,awb2_11_psychosis_4_r4,Have you ever felt under control of a special power?,mentalhealthwellbeing
pliks_under_control_distress,haven_labelled,How upsetting if you felt under control of a special power?,survey_mod232_main_dr24,awb2_11_upsetting_4_a4,How upsetting if you felt under control of a special power?,mentalhealthwellbeing
pliks_under_control_frequency,haven_labelled,How often you thought you were under control of a special power in past year,survey_mod232_main_dr24,awb2_11_pst_yr_4_a4,How often you thought you were under control of a special power in past year,mentalhealthwellbeing
pliks_under_control_who,haven_labelled,Who did you think was controlling you (at any time in the past)?,survey_mod232_main_dr24,awb2_11_cntrl_who_a4,Who did you think was controlling you (at any time in the past)?,mentalhealthwellbeing
pliks_under_control_no_will,haven_labelled,"Did it control what you were doing or thinking, no will of your own",survey_mod232_main_dr24,awb2_11_cntrl_no_will_a4,"Did it control what you were doing or thinking, no will of your own",mentalhealthwellbeing
pliks_special_powers,haven_labelled,Have you ever felt like you have special powers?,survey_mod232_main_dr24,awb2_11_psychosis_9_r4,Have you ever felt like you have special powers?,mentalhealthwellbeing
pliks_special_powers_frequency,haven_labelled,How often thought you were very special/have special powers past year,survey_mod232_main_dr24,awb2_11_pst_yr_9_a4,How often thought you were very special/have special powers past year,mentalhealthwellbeing
env_greenspace_w,haven_labelled,How often do you visit parks and green spaces? During the winter months,survey_mod232_main_dr24,awb7_1_wntr_mnths,How often do you visit parks and green spaces? During the winter months,environment
env_greenspace_s,haven_labelled,How often do you visit parks and green spaces? During the spring/summer months,survey_mod232_main_dr24,awb7_1_smmr_mnths,How often do you visit parks and green spaces? During the spring/summer months,environment
env_air_quality,haven_labelled,What do you think about the air quality in Bradford?,survey_mod232_main_dr24,awb7_2_pollution,What do you think about the air quality in Bradford?,environment
env_future,haven_labelled,How pos/neg do you feel about the future of the environment?,survey_mod232_main_dr24,awb7_3_clmte_chnge_feelng,How pos/neg do you feel about the future of the environment?,environment
school_enjoy,haven_labelled,School: I enjoy school,survey_mod232_main_dr24,awb7_1_like,School: I enjoy school,school
school_trust,haven_labelled,School: There is an adult at school I can talk to if something is worrying me,survey_mod232_main_dr24,awb7_1_trust,School: There is an adult at school I can talk to if something is worrying me,school
school_bullying,haven_labelled,Is bullying a problem at your school?,survey_mod232_main_dr24,awb7_1_bullying_1,Is bullying a problem at your school?,school
school_safe,haven_labelled,I feel safe when I am at school,survey_mod232_main_dr24,awb7_1_safe_r8,I feel safe when I am at school,school
school_pressure_1,haven_labelled,School pressure: Competition with other people for grades is intense,survey_mod232_main_dr24,awb7_2_grades_a5,School pressure: Competition with other people for grades is intense,school
school_pressure_2,haven_labelled,School pressure: If I dont do well in school my family will be disappointed,survey_mod232_main_dr24,awb7_2_fam_diss_a5,School pressure: If I dont do well in school my family will be disappointed,school
school_pressure_3,haven_labelled,School pressure: My teachers put too much pressure on me to do well in school,survey_mod232_main_dr24,awb7_2_prnt_preshr_a5,School pressure: My teachers put too much pressure on me to do well in school,school
school_pressure_4,haven_labelled,School pressure: Im worried about progressing in the future,survey_mod232_main_dr24,awb7_2_progrssng_a5,School pressure: Im worried about progressing in the future,school
school_pressure_5,haven_labelled,"School pressure: If I dont do well in school, Ill be a failure",survey_mod232_main_dr24,awb7_2_dnt_do_well_a5,"School pressure: If I dont do well in school, Ill be a failure",school
school_pressure_6,haven_labelled,School pressure: Often feel stressed because of pressure to do well in school,survey_mod232_main_dr24,awb7_2_acad_strss_r8,School pressure: Often feel stressed because of pressure to do well in school,school
school_pressure_7,haven_labelled,"School pressure: I worry about doing well in tests, exams and assessments",survey_mod232_main_dr24,awb7_2_test_wrries_a5,"School pressure: I worry about doing well in tests, exams and assessments",school
friends_offline,haven_labelled,How many in-person friends do you have?,survey_mod232_main_dr24,awb2_7_friends_physcl_r10,How many in-person friends do you have?,school
friends_online,haven_labelled,How many online friends do you have?,survey_mod232_main_dr24,awb2_7_friends_onln_r10,How many online friends do you have?,school
friends_close,haven_labelled,Do you have any close friends?,survey_mod232_main_dr24,awb2_7_friends_clse_a5,Do you have any close friends?,school
morality_1,haven_labelled,Do people your age: Start a fight with someone?,survey_mod232_main_dr24,awb8_1_morality_1_r10,Do people your age: Start a fight with someone?,identitydiscrimination
morality_2,haven_labelled,"Do people your age: Write things/spray paint on a building, fence, train",survey_mod232_main_dr24,awb8_1_morality_2_r10,"Do people your age: Write things/spray paint on a building, fence, train",identitydiscrimination
morality_3,haven_labelled,Do people your age: Take something from a shop without paying for it,survey_mod232_main_dr24,awb8_1_morality_3_r10,Do people your age: Take something from a shop without paying for it,identitydiscrimination
morality_4,haven_labelled,Do people your age: Copy/download music/games/films without paying,survey_mod232_main_dr24,awb8_1_morality_4_r10,Do people your age: Copy/download music/games/films without paying,identitydiscrimination
bullying_1,haven_labelled,How often have you taken part in bullying somebody at school?,survey_mod232_main_dr24,awb8_3_bully,How often have you taken part in bullying somebody at school?,identitydiscrimination
bullying_2,haven_labelled,How often have you been bullied at school in the past couple of months?,survey_mod232_main_dr24,awb8_2_bullied,How often have you been bullied at school in the past couple of months?,identitydiscrimination
bullying_3,haven_labelled,How often have you been bullied online?,survey_mod232_main_dr24,awb8_2_bullied_onlne,How often have you been bullied online?,identitydiscrimination
bullying_4,haven_labelled,"In the past couple of months, how often have you taken part in online bullying?",survey_mod232_main_dr24,awb8_2_bully_onlne,"In the past couple of months, how often have you taken part in online bullying?",identitydiscrimination
discrim_discourage,haven_labelled,Have you ever been discouraged from joining a club/group?,survey_mod232_main_dr24,awb8_2_club_1,Have you ever been discouraged from joining a club/group?,identitydiscrimination
discrim_excluded,haven_labelled,Have others your age not included you in their activities?,survey_mod232_main_dr24,awb8_2_excl_2,Have others your age not included you in their activities?,identitydiscrimination
discrim_expected,haven_labelled,Have people expected less of you than others your age?,survey_mod232_main_dr24,awb8_2_age_3,Have people expected less of you than others your age?,identitydiscrimination
discrim_english,haven_labelled,Have people assumed your English was poor?,survey_mod232_main_dr24,awb8_2_lang_4,Have people assumed your English was poor?,identitydiscrimination
discrim_police,haven_labelled,Have you ever been hassled by police?,survey_mod232_main_dr24,awb8_2_police_5,Have you ever been hassled by police?,identitydiscrimination
discrim_staff,haven_labelled,Have you ever been hassled by staff in a shop?,survey_mod232_main_dr24,awb8_2_shop_6,Have you ever been hassled by staff in a shop?,identitydiscrimination
discrim_insults,haven_labelled,Have you ever been called insulting names?,survey_mod232_main_dr24,awb8_2_names_7,Have you ever been called insulting names?,identitydiscrimination
discrim_service,haven_labelled,Have you ever received poor service in a shop/restaurant?,survey_mod232_main_dr24,awb8_2_service_8,Have you ever received poor service in a shop/restaurant?,identitydiscrimination
discrim_intelligent,haven_labelled,Have people ever acted as though you were not intelligent?,survey_mod232_main_dr24,awb8_2_int_9,Have people ever acted as though you were not intelligent?,identitydiscrimination
